GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
8600000US11203,11203,ZCTA5 11203,46630,2421
8600000US11204,11204,ZCTA5 11204,45593,2187
8600000US11205,11205,ZCTA5 11205,47050,4758
8600000US11206,11206,ZCTA5 11206,30686,1617
8600000US11207,11207,ZCTA5 11207,33816,2239
8600000US11208,11208,ZCTA5 11208,34527,1969
8600000US11209,11209,ZCTA5 11209,59934,2065
8600000US11210,11210,ZCTA5 11210,56052,2286
8600000US11211,11211,ZCTA5 11211,50943,2686
8600000US11212,11212,ZCTA5 11212,28146,1600
8600000US11213,11213,ZCTA5 11213,34804,2059
8600000US11214,11214,ZCTA5 11214,45838,2781
8600000US11215,11215,ZCTA5 11215,99040,3504
8600000US11216,11216,ZCTA5 11216,45566,2946
8600000US11217,11217,ZCTA5 11217,85199,3676
8600000US11218,11218,ZCTA5 11218,54441,3267
8600000US11219,11219,ZCTA5 11219,35083,1744
8600000US11220,11220,ZCTA5 11220,38052,2058
8600000US11221,11221,ZCTA5 11221,39785,2624
8600000US11222,11222,ZCTA5 11222,66610,3490
8600000US11223,11223,ZCTA5 11223,40873,2151
8600000US11224,11224,ZCTA5 11224,27011,3215
8600000US11225,11225,ZCTA5 11225,43543,2138
8600000US11226,11226,ZCTA5 11226,42182,1327
8600000US11228,11228,ZCTA5 11228,62821,3873
8600000US11229,11229,ZCTA5 11229,51985,1953
8600000US11230,11230,ZCTA5 11230,41820,2019
8600000US11231,11231,ZCTA5 11231,83383,5798
8600000US11232,11232,ZCTA5 11232,44583,3156
8600000US11233,11233,ZCTA5 11233,34432,2763
8600000US11234,11234,ZCTA5 11234,67713,2367
8600000US11235,11235,ZCTA5 11235,42257,3073
8600000US11236,11236,ZCTA5 11236,60135,2029
8600000US11237,11237,ZCTA5 11237,42496,2607
8600000US11238,11238,ZCTA5 11238,69491,4614
8600000US11239,11239,ZCTA5 11239,27886,5060
8600000US11351,11351,ZCTA5 11351,-,**
8600000US11354,11354,ZCTA5 11354,46650,2737
8600000US11355,11355,ZCTA5 11355,40539,2094
8600000US11356,11356,ZCTA5 11356,59084,5353
8600000US11357,11357,ZCTA5 11357,73189,5032
8600000US11358,11358,ZCTA5 11358,67277,4630
8600000US11359,11359,ZCTA5 11359,-,**
8600000US11360,11360,ZCTA5 11360,79513,7581
8600000US11361,11361,ZCTA5 11361,77219,3794
8600000US11362,11362,ZCTA5 11362,82058,7517
8600000US11363,11363,ZCTA5 11363,92711,9868
8600000US11364,11364,ZCTA5 11364,72344,5445
8600000US11365,11365,ZCTA5 11365,58990,5688
8600000US11366,11366,ZCTA5 11366,71692,5260
8600000US11367,11367,ZCTA5 11367,54218,2896
8600000US11368,11368,ZCTA5 11368,45014,1374
8600000US11369,11369,ZCTA5 11369,54181,4679
8600000US11370,11370,ZCTA5 11370,54196,3357
8600000US11371,11371,ZCTA5 11371,-,**
8600000US11372,11372,ZCTA5 11372,46402,3162
8600000US11373,11373,ZCTA5 11373,49042,2671
8600000US11374,11374,ZCTA5 11374,50606,2375
8600000US11375,11375,ZCTA5 11375,71643,3459
8600000US11377,11377,ZCTA5 11377,49641,1573
8600000US11378,11378,ZCTA5 11378,56278,3782
8600000US11379,11379,ZCTA5 11379,71393,2050
8600000US11385,11385,ZCTA5 11385,53558,2055
8600000US11411,11411,ZCTA5 11411,81117,6586
8600000US11412,11412,ZCTA5 11412,70709,3874
8600000US11413,11413,ZCTA5 11413,80237,3199
8600000US11414,11414,ZCTA5 11414,69088,6866
8600000US11415,11415,ZCTA5 11415,64696,5360
8600000US11416,11416,ZCTA5 11416,58621,1766
8600000US11417,11417,ZCTA5 11417,61617,2466
8600000US11418,11418,ZCTA5 11418,61472,2375
8600000US11419,11419,ZCTA5 11419,55557,5298
8600000US11420,11420,ZCTA5 11420,57784,3372
8600000US11421,11421,ZCTA5 11421,61974,2402
8600000US11422,11422,ZCTA5 11422,83631,6195
8600000US11423,11423,ZCTA5 11423,60161,5583
8600000US11424,11424,ZCTA5 11424,-,**
8600000US11425,11425,ZCTA5 11425,-,**
8600000US11426,11426,ZCTA5 11426,77917,5586
8600000US11427,11427,ZCTA5 11427,69847,5496
8600000US11428,11428,ZCTA5 11428,68077,4837
8600000US11429,11429,ZCTA5 11429,71208,7325
8600000US11430,11430,ZCTA5 11430,-,**
8600000US11432,11432,ZCTA5 11432,49631,3242
8600000US11433,11433,ZCTA5 11433,44799,3148
8600000US11434,11434,ZCTA5 11434,58178,2319
8600000US11435,11435,ZCTA5 11435,52939,2165
8600000US11436,11436,ZCTA5 11436,61544,3135
8600000US11451,11451,ZCTA5 11451,-,**
8600000US11581,11581,ZCTA5 11581,94019,7597
8600000US11691,11691,ZCTA5 11691,39986,4655
8600000US11692,11692,ZCTA5 11692,40298,5034
8600000US11693,11693,ZCTA5 11693,51116,5523
8600000US11694,11694,ZCTA5 11694,75615,4661
8600000US11697,11697,ZCTA5 11697,82230,14813
